book_id,authors,original_publication_year,title,average_rating,ratings_count,image_url
1,Suzanne Collins,2008.0,"The Hunger Games (The Hunger Games, #1)",4.34,4780653,https://images.gr-assets.com/books/1447303603m/2767052.jpg
2,"J.K. Rowling, Mary GrandPré",1997.0,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44,4602479,https://images.gr-assets.com/books/1474154022m/3.jpg
3,Stephenie Meyer,2005.0,"Twilight (Twilight, #1)",3.57,3866839,https://images.gr-assets.com/books/1361039443m/41865.jpg
4,Harper Lee,1960.0,To Kill a Mockingbird,4.25,3198671,https://images.gr-assets.com/books/1361975680m/2657.jpg
5,F. Scott Fitzgerald,1925.0,The Great Gatsby,3.89,2683664,https://images.gr-assets.com/books/1490528560m/4671.jpg
6,John Green,2012.0,The Fault in Our Stars,4.26,2346404,https://images.gr-assets.com/books/1360206420m/11870085.jpg
7,J.R.R. Tolkien,1937.0,The Hobbit,4.25,2071616,https://images.gr-assets.com/books/1372847500m/5907.jpg
8,J.D. Salinger,1951.0,The Catcher in the Rye,3.79,2044241,https://images.gr-assets.com/books/1398034300m/5107.jpg
9,Dan Brown,2000.0,"Angels & Demons  (Robert Langdon, #1)",3.85,2001311,https://images.gr-assets.com/books/1303390735m/960.jpg
10,Jane Austen,1813.0,Pride and Prejudice,4.24,2035490,https://images.gr-assets.com/books/1320399351m/1885.jpg
11,Khaled Hosseini,2003.0,The Kite Runner,4.26,1813044,https://images.gr-assets.com/books/1484565687m/77203.jpg
12,Veronica Roth,2011.0,"Divergent (Divergent, #1)",4.24,1903563,https://images.gr-assets.com/books/1328559506m/13335037.jpg
13,"George Orwell, Erich Fromm, Celâl Üster",1949.0,1984,4.14,1956832,https://images.gr-assets.com/books/1348990566m/5470.jpg
14,George Orwell,1945.0,Animal Farm,3.87,1881700,https://images.gr-assets.com/books/1424037542m/7613.jpg
15,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,The Diary of a Young Girl,4.1,1972666,https://images.gr-assets.com/books/1358276407m/48855.jpg
16,"Stieg Larsson, Reg Keeland",2005.0,"The Girl with the Dragon Tattoo (Millennium, #1)",4.11,1808403,https://images.gr-assets.com/books/1327868566m/2429135.jpg
17,Suzanne Collins,2009.0,"Catching Fire (The Hunger Games, #2)",4.3,1831039,https://images.gr-assets.com/books/1358273780m/6148028.jpg
